7.1.0	This NASA image is a composite of several satellite-based views of Earth.
7.40.270	The elastic connective tissue stretches and supports the blood vessels, and the smooth muscle layer helps regulate blood flow by altering vascular resistance through vasoconstriction and vasodilation.
7.40.271	The arteries have thicker smooth muscle and connective tissue than the veins to accommodate the higher pressure and speed of freshly pumped blood.
7.40.272	The veins are thinner walled as the pressure and rate of flow are much lower.
7.40.273	In addition, veins are structurally different than arteries in that veins have valves to prevent the backflow of blood.
7.40.274	Because veins have to work against gravity to get blood back to the heart, contraction of skeletal muscle assists with the flow of blood back to the heart.
7.40.275	Arteries and veins consist of three layers: an outer tunica externa, a middle tunica media, and an inner tunica intima.
7.40.276	Capillaries consist of a single layer of epithelial cells, the tunica intima.
7.40.277	(credit: modification of work by NCI, NIH)
7.40.278	Blood pressure (BP) is the pressure exerted by blood on the walls of a blood vessel that helps to push blood through the body.
7.40.279	Systolic blood pressure measures the amount of pressure that blood exerts on vessels while the heart is beating.
7.40.280	The optimal systolic blood pressure is 120 mmHg.
7.40.281	Diastolic blood pressure measures the pressure in the vessels between heartbeats.
7.40.282	The optimal diastolic blood pressure is 80 mmHg.
7.40.283	Many factors can affect blood pressure, such as hormones, stress, exercise, eating, sitting, and standing.
7.40.284	Blood flow through the body is regulated by the size of blood vessels, by the action of smooth muscle, by one-way valves, and by the fluid pressure of the blood itself.
7.40.285	How Blood Flows Through the Body Blood is pushed through the body by the action of the pumping heart.
7.40.286	With each rhythmic pump, blood is pushed under high pressure and velocity away from the heart, initially along the main artery, the aorta.
7.40.287	In the aorta, the blood travels at 30 cm/sec.
7.40.288	As blood moves into the arteries, arterioles, and ultimately to the capillary beds, the rate of movement slows dramatically to about 0.026 cm/sec, one-thousand times slower than the rate of movement in the aorta.
7.40.289	While the diameter of each individual arteriole and capillary is far narrower than the diameter of the aorta, and according to the law of continuity, fluid should travel faster through a narrower diameter tube, the rate is actually slower due to the overall diameter of all the combined capillaries being far greater than the diameter of the individual aorta.
7.40.290	The slow rate of travel through the capillary beds, which reach almost every cell in the body, assists with gas and nutrient exchange and also promotes the diffusion of fluid into the interstitial space.
7.40.291	After the blood has passed through the capillary beds to the venules, veins, and finally to the main venae cavae, the rate of flow increases again but is still much slower than the initial rate in the aorta.
7.40.292	Blood primarily moves in the veins by the rhythmic movement of smooth muscle in the vessel wall and by the action of the skeletal muscle as the body moves.
7.40.293	Because most veins must move blood against the pull of gravity, blood is prevented from flowing backward in the veins by one-way valves.
7.40.294	Because skeletal muscle contraction aids in venous blood flow, it is important to get up and move frequently after long periods of sitting so that blood will not pool in the extremities.
7.40.295	Blood flow through the capillary beds is regulated depending on the body’s needs and is directed by nerve and hormone signals.
7.40.296	For example, after a large meal, most of the blood is diverted to the stomach by vasodilation of vessels of the digestive system and vasoconstriction of other vessels.
7.40.297	During exercise, blood is diverted to the skeletal muscles through vasodilation while blood to the digestive system would be lessened through vasoconstriction.
7.40.298	The blood entering some capillary beds is controlled by small muscles, called precapillary sphincters, illustrated in Figure 40.17.
7.40.299	If the sphincters are open, the blood will flow into the associated branches of the capillary blood.
7.40.300	If all of the sphincters are closed, then the blood will flow directly from the arteriole to the venule through the thoroughfare channel (see Figure 40.17).
7.40.301	These muscles allow the body to precisely control when capillary beds receive blood flow.
7.40.302	At any given moment only about 5-10% of our capillary beds actually have blood flowing through them.
7.40.303	Proteins and other large solutes cannot leave the capillaries.
7.40.304	The loss of the watery plasma creates a hyperosmotic solution within the capillaries, especially near the venules.
7.40.305	This causes about 85% of the plasma that leaves the capillaries to eventually diffuses back into the capillaries near the venules.
7.40.306	The remaining 15% of blood plasma drains out from the interstitial fluid into nearby lymphatic vessels (Figure 40.18).
7.40.307	The fluid in the lymph is similar in composition to the interstitial fluid.
7.40.308	The lymph fluid passes through lymph nodes before it returns to the heart via the vena cava.
7.40.309	Lymph nodes are specialized organs that filter the lymph by percolation through a maze of connective tissue filled with white blood cells.
7.40.310	The white blood cells remove infectious agents, such as bacteria and viruses, to clean the lymph before it returns to the bloodstream.
7.40.311	After it is cleaned, the lymph returns to the heart by the action of smooth muscle pumping, skeletal muscle action, and one-way valves joining the returning blood near the junction of the venae cavae entering the right atrium of the heart.
7.40.312	Fluid from the capillaries moves into the interstitial space and lymph capillaries by diffusion down a pressure gradient and also by osmosis.
7.40.313	Out of 7,200 liters of fluid pumped by the average heart in a day, over 1,500 liters is filtered.
7.40.314	(credit: modification of work by NCI, NIH)
7.40.315	Blood Pressure
7.40.316	The pressure of the blood flow in the body is produced by the hydrostatic pressure of the fluid (blood) against the walls of the blood vessels.
7.40.317	Fluid will move from areas of high to low hydrostatic pressures.
7.40.318	In the arteries, the hydrostatic pressure near the heart is very high and blood flows to the arterioles where the rate of flow is slowed by the narrow openings of the arterioles.
7.40.319	During systole, when new blood is entering the arteries, the artery walls stretch to accommodate the increase of pressure of the extra blood; during diastole, the walls return to normal because of their elastic properties.
7.40.320	The blood pressure of the systole phase and the diastole phase, graphed in Figure 40.19, gives the two pressure readings for blood pressure.
7.40.321	For example, 120/80 indicates a reading of 120 mm Hg during the systole and 80 mm Hg during diastole.
7.40.322	Throughout the cardiac cycle, the blood continues to empty into the arterioles at a relatively even rate.
7.40.323	This resistance to blood flow is called peripheral resistance.
7.40.324	Figure 40.19
7.40.325	Blood pressure is related to the blood velocity in the arteries and arterioles.
7.40.326	In the capillaries and veins, the blood pressure continues to decease but velocity increases.
7.40.327	Blood Pressure Regulation Cardiac output is the volume of blood pumped by the heart in one minute.
7.40.328	It is calculated by multiplying the number of heart contractions that occur per minute (heart rate) times the stroke volume (the volume of blood pumped into the aorta per contraction of the left ventricle).
7.40.329	Therefore, cardiac output can be increased by increasing heart rate, as when exercising.
7.40.330	However, cardiac output can also be increased by increasing stroke volume, such as if the heart contracts with greater strength.
7.40.331	Stroke volume can also be increased by speeding blood circulation through the body so that more blood enters the heart between contractions.
7.40.332	During heavy exertion, the blood vessels relax and increase in diameter, offsetting the increased heart rate and ensuring adequate oxygenated blood gets to the muscles.
7.40.333	Stress triggers a decrease in the diameter of the blood vessels, consequently increasing blood pressure.
7.40.334	These changes can also be caused by nerve signals or hormones, and even standing up or lying down can have a great effect on blood pressure.  
7.41.0	Just as humans recycle what we can and dump the remains into landfills, our bodies use and recycle what they can and excrete the remaining waste products.
7.41.1	Our bodies’ complex systems have developed ways to treat waste and maintain a balanced internal environment.
7.41.2	(credit: modification of work by Redwin Law)
7.41.3	Introduction
7.41.4	The daily intake recommendation for human water consumption is eight to ten glasses of water.
7.41.5	In order to achieve a healthy balance, the human body should excrete the eight to ten glasses of water every day.
7.41.6	This occurs via the processes of urination, defecation, sweating and, to a small extent, respiration.
7.41.7	The organs and tissues of the human body are soaked in fluids that are maintained at constant temperature, pH, and solute concentration, all crucial elements of homeostasis.
7.41.8	The solutes in body fluids are mainly mineral salts and sugars, and osmotic regulation is the process by which the mineral salts and water are kept in balance.
7.41.9	Osmotic homeostasis is maintained despite the influence of external factors like temperature, diet, and weather conditions.
7.41.10	Osmosis is the diffusion of water across a membrane in response to osmotic pressure caused by an imbalance of molecules on either side of the membrane.
7.41.11	Osmoregulation is the process of maintenance of salt and water balance ( osmotic balance) across membranes within the body’s fluids, which are composed of water, plus electrolytes and non-electrolytes.
7.41.12	An electrolyte is a solute that dissociates into ions when dissolved in water.
7.41.13	A non-electrolyte, in contrast, doesn’t dissociate into ions during water dissolution.
7.41.14	Both electrolytes and non-electrolytes contribute to the osmotic balance.
7.41.15	The body’s fluids include blood plasma, the cytosol within cells, and interstitial fluid, the fluid that exists in the spaces between cells and tissues of the body.
7.41.16	The membranes of the body (such as the pleural, serous, and cell membranes) are semi-permeable membranes.
7.41.17	Semi-permeable membranes are permeable (or permissive) to certain types of solutes and water.
7.41.18	Solutions on two sides of a semi-permeable membrane tend to equalize in solute concentration by movement of solutes and/or water across the membrane.
7.41.19	As seen in Figure 41.2, a cell placed in water tends to swell due to gain of water from the hypotonic or “low salt” environment.
7.41.20	A cell placed in a solution with higher salt concentration, on the other hand, tends to make the membrane shrivel up due to loss of water into the hypertonic or “high salt” environment.
7.41.21	Isotonic cells have an equal concentration of solutes inside and outside the cell; this equalizes the osmotic pressure on either side of the cell membrane which is a semi-permeable membrane.
7.41.22	Cells placed in a hypertonic environment tend to shrink due to loss of water.
7.41.23	In a hypotonic environment, cells tend to swell due to intake of water.
7.41.24	The blood maintains an isotonic environment so that cells neither shrink nor swell.
7.41.25	(credit: Mariana Ruiz Villareal)
7.41.26	The body does not exist in isolation.
7.41.27	There is a constant input of water and electrolytes into the system.
7.41.28	While osmoregulation is achieved across membranes within the body, excess electrolytes and wastes are transported to the kidneys and excreted, helping to maintain osmotic balance.
7.41.29	Need for
7.41.30	Osmoregulation Biological systems constantly interact and exchange water and nutrients with the environment by way of consumption of food and water and through excretion in the form of sweat, urine, and feces.
7.41.31	Without a mechanism to regulate osmotic pressure, or when a disease damages this mechanism, there is a tendency to accumulate toxic waste and water, which can have dire consequences.
7.41.32	Mammalian systems have evolved to regulate not only the overall osmotic pressure across membranes, but also specific concentrations of important electrolytes in the three major fluid compartments: blood plasma, extracellular fluid, and intracellular fluid.
7.41.33	Since osmotic pressure is regulated by the movement of water across membranes, the volume of the fluid compartments can also change temporarily.
7.41.34	Because blood plasma is one of the fluid components, osmotic pressures have a direct bearing on blood pressure.
7.41.35	Transport of Electrolytes across Cell Membranes Electrolytes, such as sodium chloride, ionize in water, meaning that they dissociate into their component ions.
7.41.36	In water, sodium chloride (NaCl), dissociates into the sodium ion (Na+) and the chloride ion (Cl–).
7.41.37	The most important ions, whose concentrations are very closely regulated in body fluids, are the cations sodium (Na+), potassium (K+), calcium (Ca+2), magnesium (Mg+2), and the anions chloride (Cl-), carbonate (CO3-2), bicarbonate (HCO3-), and phosphate(PO3-).
7.41.38	Electrolytes are lost from the body during urination and perspiration.
7.41.39	For this reason, athletes are encouraged to replace electrolytes and fluids during periods of increased activity and perspiration.
7.41.40	Osmotic pressure is influenced by the concentration of solutes in a solution.
7.41.41	It is directly proportional to the number of solute atoms or molecules and not dependent on the size of the solute molecules.
7.41.42	Because electrolytes dissociate into their component ions, they, in essence, add more solute particles into the solution and have a greater effect on osmotic pressure, per mass than compounds that do not dissociate in water, such as glucose.
7.41.43	Water can pass through membranes by passive diffusion.
7.41.44	If electrolyte ions could passively diffuse across membranes, it would be impossible to maintain specific concentrations of ions in each fluid compartment therefore they require special mechanisms to cross the semi-permeable membranes in the body.
7.41.45	This movement can be accomplished by facilitated diffusion and active transport.
7.41.46	Facilitated diffusion requires protein-based channels for moving the solute.
7.41.47	Active transport requires energy in the form of ATP conversion, carrier proteins, or pumps in order to move ions against the concentration gradient.
7.41.48	Concept of Osmolality and Milliequivalent
7.41.49	In order to calculate osmotic pressure, it is necessary to understand how solute concentrations are measured.
7.41.50	The unit for measuring solutes is the mole.
7.41.51	One mole is defined as the gram molecular weight of the solute.
7.41.52	For example, the molecular weight of sodium chloride is 58.44.
7.41.53	Thus, one mole of sodium chloride weighs 58.44 grams.
7.41.54	The molarity of a solution is the number of moles of solute per liter of solution.
7.41.55	The molality of a solution is the number of moles of solute per kilogram of solvent.
7.41.56	If the solvent is water, one kilogram of water is equal to one liter of water.
7.41.57	While molarity and molality are used to express the concentration of solutions, electrolyte concentrations are usually expressed in terms of milliequivalents per liter (mEq/L):
7.41.58	the mEq/L is equal to the ion concentration (in millimoles) multiplied by the number of electrical charges on the ion.
7.41.59	The unit of milliequivalent takes into consideration the ions present in the solution (since electrolytes form ions in aqueous solutions) and the charge on the ions.
7.41.60	Thus, for ions that have a charge of one, one milliequivalent is equal to one millimole.
7.41.61	For ions that have a charge of two (like calcium), one milliequivalent is equal to 0.5 millimoles.
7.41.62	Another unit for the expression of electrolyte concentration is the milliosmole (mOsm), which is the number of milliequivalents of solute per kilogram of solvent.
7.41.63	Body fluids are usually maintained within the range of 280 to 300 mOsm.
7.41.64	Osmoregulators and Osmoconformers Persons lost at sea without any fresh water to drink are at risk of severe dehydration because the human body cannot adapt to drinking seawater, which is hypertonic in comparison to body fluids.
7.41.65	Organisms such as goldfish that can tolerate only a relatively narrow range of salinity are referred to as stenohaline.
7.41.66	About 90 percent of all bony fish are restricted to either freshwater or seawater.
7.41.67	They are incapable of osmotic regulation in the opposite environment.
7.41.68	It is possible, however, for a few fishes like salmon to spend part of their life in fresh water and part in sea water.
7.41.69	Organisms like the salmon and molly that can tolerate a relatively wide range of salinity are referred to as euryhaline organisms.
7.41.70	This is possible because some fish have evolved osmoregulatory mechanisms to survive in all kinds of aquatic environments.
7.41.71	When they live in fresh water, their bodies tend to take up water because the environment is relatively hypotonic, as illustrated in Figure 41.3a.
7.41.72	In such hypotonic environments, these fish do not drink much water.
7.41.73	Instead, they pass a lot of very dilute urine, and they achieve electrolyte balance by active transport of salts through the gills.
7.41.74	When they move to a hypertonic marine environment, these fish start drinking sea water; they excrete the excess salts through their gills and their urine, as illustrated in Figure 41.3b.
7.41.75	Most marine invertebrates, on the other hand, may be isotonic with sea water ( osmoconformers).
7.41.76	Their body fluid concentrations conform to changes in seawater concentration.
7.41.77	Cartilaginous fishes’ salt composition of the blood is similar to bony fishes; however, the blood of sharks contains the organic compounds urea and trimethylamine oxide (TMAO).
7.41.78	This does not mean that their electrolyte composition is similar to that of sea water.
7.41.79	They achieve isotonicity with the sea by storing large concentrations of urea.
7.41.80	These animals that secrete urea are called ureotelic animals.
7.41.81	TMAO stabilizes proteins in the presence of high urea levels, preventing the disruption of peptide bonds that would occur in other animals exposed to similar levels of urea.
7.41.82	Sharks are cartilaginous fish with a rectal gland to secrete salt and assist in osmoregulation.
7.41.83	Fish are osmoregulators, but must use different mechanisms to survive in (a) freshwater or (b) saltwater environments.
7.41.84	(credit: modification of work by Duane Raver, NOAA)
7.41.85	Although the kidneys are the major osmoregulatory organ, the skin and lungs also play a role in the process.
7.41.86	Water and electrolytes are lost through sweat glands in the skin, which helps moisturize and cool the skin surface, while the lungs expel a small amount of water in the form of mucous secretions and via evaporation of water vapor.
7.41.87	Kidneys:
7.41.88	The Main Osmoregulatory Organ
7.41.89	The kidneys, illustrated in Figure 41.4, are a pair of bean-shaped structures that are located just below and posterior to the liver in the peritoneal cavity.
7.41.90	The adrenal glands sit on top of each kidney and are also called the suprarenal glands.
7.41.91	Kidneys filter blood and purify it.
7.41.92	All the blood in the human body is filtered many times a day by the kidneys; these organs use up almost 25 percent of the oxygen absorbed through the lungs to perform this function.
7.41.93	Oxygen allows the kidney cells to efficiently manufacture chemical energy in the form of ATP through aerobic respiration.
7.41.94	The filtrate coming out of the kidneys is called urine.
7.41.95	Kidneys filter the blood, producing urine that is stored in the bladder prior to elimination through the urethra.
7.41.96	(credit: modification of work by NCI)
7.41.97	Kidney Structure
7.41.98	Externally, the kidneys are surrounded by three layers, illustrated in Figure 41.5.
7.41.99	The outermost layer is a tough connective tissue layer called the renal fascia.
7.41.100	The second layer is called the perirenal fat capsule, which helps anchor the kidneys in place.
7.41.101	The third and innermost layer is the renal capsule.
7.41.102	Internally, the kidney has three regions—an outer cortex, a medulla in the middle, and the renal pelvis in the region called the hilum of the kidney.
7.41.103	The hilum is the concave part of the bean-shape where blood vessels and nerves enter and exit the kidney; it is also the point of exit for the ureters.
7.41.104	The renal cortex is granular due to the presence of nephrons—the functional unit of the kidney.
7.41.105	The medulla consists of multiple pyramidal tissue masses, called the renal pyramids.
7.41.106	In between the pyramids are spaces called renal columns through which the blood vessels pass.
7.41.107	The tips of the pyramids, called renal papillae, point toward the renal pelvis.
7.41.108	There are, on average, eight renal pyramids in each kidney.
7.41.109	The renal pyramids along with the adjoining cortical region are called the lobes of the kidney.
7.41.110	The renal pelvis leads to the ureter on the outside of the kidney.
7.41.111	On the inside of the kidney, the renal pelvis branches out into two or three extensions called the major calyces, which further branch into the minor calyces.
7.41.112	The ureters are urine-bearing tubes that exit the kidney and empty into the urinary bladder.
7.41.113	Because the kidney filters blood, its network of blood vessels is an important component of its structure and function.
7.41.114	The arteries, veins, and nerves that supply the kidney enter and exit at the renal hilum.
7.41.115	Renal blood supply starts with the branching of the aorta into the renal arteries (which are each named based on the region of the kidney they pass through) and ends with the exiting of the renal veins to join the inferior vena cava.
7.41.116	The renal arteries split into several segmental arteries upon entering the kidneys.
7.41.117	Each segmental artery splits further into several interlobar arteries and enters the renal columns, which supply the renal lobes.
7.41.118	The interlobar arteries split at the junction of the renal cortex and medulla to form the arcuate arteries.
7.41.119	The arcuate “bow shaped” arteries form arcs along the base of the medullary pyramids.
7.41.120	Cortical radiate arteries, as the name suggests, radiate out from the arcuate arteries.
7.41.121	The cortical radiate arteries branch into numerous afferent arterioles, and then enter the capillaries supplying the nephrons.
7.41.122	Veins trace the path of the arteries and have similar names, except there are no segmental veins.
7.41.123	As mentioned previously, the functional unit of the kidney is the nephron, illustrated in Figure 41.6.
7.41.124	Each kidney is made up of over one million nephrons that dot the renal cortex, giving it a granular appearance when sectioned sagittally.
7.41.125	There are two types of nephrons— cortical nephrons (85 percent), which are deep in the renal cortex, and juxtamedullary nephrons (15 percent), which lie in the renal cortex close to the renal medulla.
7.41.126	A nephron consists of three parts—a renal corpuscle, a renal tubule, and the associated capillary network, which originates from the cortical radiate arteries.
7.41.127	Renal Corpuscle
7.41.128	The renal corpuscle, located in the renal cortex, is made up of a network of capillaries known as the glomerulus and the capsule, a cup-shaped chamber that surrounds it, called the glomerular or Bowman's capsule.
7.41.129	Renal Tubule
7.41.130	The renal tubule is a long and convoluted structure that emerges from the glomerulus and can be divided into three parts based on function.
7.41.131	The first part is called the proximal convoluted tubule (PCT) due to its proximity to the glomerulus; it stays in the renal cortex.
7.41.132	The second part is called the loop of Henle, or nephritic loop, because it forms a loop (with descending and ascending limbs) that goes through the renal medulla.
7.41.133	The third part of the renal tubule is called the distal convoluted tubule (DCT) and this part is also restricted to the renal cortex.
7.41.134	The DCT, which is the last part of the nephron, connects and empties its contents into collecting ducts that line the medullary pyramids.
7.41.135	The collecting ducts amass contents from multiple nephrons and fuse together as they enter the papillae of the renal medulla.
7.41.136	Capillary Network within the Nephron
7.41.137	The capillary network that originates from the renal arteries supplies the nephron with blood that needs to be filtered.
7.41.138	The branch that enters the glomerulus is called the afferent arteriole.
7.41.139	The branch that exits the glomerulus is called the efferent arteriole.
7.41.140	Within the glomerulus, the network of capillaries is called the glomerular capillary bed.
7.41.141	Once the efferent arteriole exits the glomerulus, it forms the peritubular capillary network, which surrounds and interacts with parts of the renal tubule.
7.41.142	In cortical nephrons, the peritubular capillary network surrounds the PCT and DCT.
7.41.143	In juxtamedullary nephrons, the peritubular capillary network forms a network around the loop of Henle and is called the vasa recta.
7.41.144	Kidney Function and Physiology Kidneys filter blood in a three-step process.
7.41.145	First, the nephrons filter blood that runs through the capillary network in the glomerulus.
7.41.146	Almost all solutes, except for proteins, are filtered out into the glomerulus by a process called glomerular filtration.
7.41.147	Second, the filtrate is collected in the renal tubules.
7.41.148	Most of the solutes get reabsorbed in the PCT by a process called tubular reabsorption.
7.41.149	In the loop of Henle, the filtrate continues to exchange solutes and water with the renal medulla and the peritubular capillary network.
7.41.150	Water is also reabsorbed during this step.
7.41.151	Then, additional solutes and wastes are secreted into the kidney tubules during tubular secretion, which is, in essence, the opposite process to tubular reabsorption.
7.41.152	The collecting ducts collect filtrate coming from the nephrons and fuse in the medullary papillae.
7.41.153	From here, the papillae deliver the filtrate, now called urine, into the minor calyces that eventually connect to the ureters through the renal pelvis.
7.41.154	This entire process is illustrated in Figure 41.7.
7.41.155	Each part of the nephron performs a different function in filtering waste and maintaining homeostatic balance.
7.41.156	(1)
7.41.157	The glomerulus forces small solutes out of the blood by pressure.
7.41.158	(2)
7.41.159	The proximal convoluted tubule reabsorbs ions, water, and nutrients from the filtrate into the interstitial fluid, and actively transports toxins and drugs from the interstitial fluid into the filtrate.
7.41.160	The proximal convoluted tubule also adjusts blood pH by selectively secreting ammonia (NH3) into the filtrate, where it reacts with H+ to form NH4+.
7.41.161	The more acidic the filtrate, the more ammonia is secreted.
7.41.162	(3)
7.41.163	The descending loop of Henle is lined with cells containing aquaporins that allow water to pass from the filtrate into the interstitial fluid.
7.41.164	(4)
7.41.165	In the thin part of the ascending loop of Henle, Na+ and Cl- ions diffuse into the interstitial fluid.
7.41.166	In the thick part, these same ions are actively transported into the interstitial fluid.
7.41.167	Because salt but not water is lost, the filtrate becomes more dilute as it travels up the limb.
7.41.168	(5)
7.41.169	In the distal convoluted tubule, K+ and H+ ions are selectively secreted into the filtrate, while Na+, Cl-, and
7.41.170	HCO3- ions are reabsorbed to maintain pH and electrolyte balance in the blood.
7.41.171	(6)
7.41.172	The collecting duct reabsorbs solutes and water from the filtrate, forming dilute urine.
7.41.173	(credit: modification of work by NIDDK)
7.41.174	Glomerular Filtration Glomerular filtration filters out most of the solutes due to high blood pressure and specialized membranes in the afferent arteriole.
7.41.175	The blood pressure in the glomerulus is maintained independent of factors that affect systemic blood pressure.
7.41.176	The “leaky” connections between the endothelial cells of the glomerular capillary network allow solutes to pass through easily.
7.41.177	All solutes in the glomerular capillaries, except for macromolecules like proteins, pass through by passive diffusion.
7.41.178	There is no energy requirement at this stage of the filtration process.
7.41.179	Glomerular filtration rate (GFR) is the volume of glomerular filtrate formed per minute by the kidneys.
7.41.180	GFR is regulated by multiple mechanisms and is an important indicator of kidney function.
7.41.181	Tubular Reabsorption and Secretion Tubular reabsorption occurs in the PCT part of the renal tubule.
7.41.182	Almost all nutrients are reabsorbed, and this occurs either by passive or active transport.
7.41.183	Reabsorption of water and some key electrolytes are regulated and can be influenced by hormones.
7.41.184	Sodium (Na+) is the most abundant ion and most of it is reabsorbed by active transport and then transported to the peritubular capillaries.
7.41.185	Because Na+ is actively transported out of the tubule, water follows it to even out the osmotic pressure.
7.41.186	Water is also independently reabsorbed into the peritubular capillaries due to the presence of aquaporins, or water channels, in the PCT.
7.41.187	This occurs due to the low blood pressure and high osmotic pressure in the peritubular capillaries.
7.41.188	However, every solute has a transport maximum and the excess is not reabsorbed.
7.41.189	In the loop of Henle, the permeability of the membrane changes.
7.41.190	The descending limb is permeable to water, not solutes; the opposite is true for the ascending limb.
7.41.191	Additionally, the loop of Henle invades the renal medulla, which is naturally high in salt concentration and tends to absorb water from the renal tubule and concentrate the filtrate.
7.41.192	The osmotic gradient increases as it moves deeper into the medulla.
7.41.193	Because two sides of the loop of Henle perform opposing functions, as illustrated in Figure 41.8, it acts as a countercurrent multiplier.
7.41.194	The vasa recta around it acts as the countercurrent exchanger.
7.41.195	By the time the filtrate reaches the DCT, most of the urine and solutes have been reabsorbed.
7.41.196	If the body requires additional water, all of it can be reabsorbed at this point.
7.41.197	Further reabsorption is controlled by hormones, which will be discussed in a later section.
7.41.198	Excretion of wastes occurs due to lack of reabsorption combined with tubular secretion.
7.41.199	Undesirable products like metabolic wastes, urea, uric acid, and certain drugs, are excreted by tubular secretion.
7.41.200	Most of the tubular secretion happens in the DCT, but some occurs in the early part of the collecting duct.
7.41.201	Kidneys also maintain an acid-base balance by secreting excess H+ ions.
7.41.202	Although parts of the renal tubules are named proximal and distal, in a cross-section of the kidney, the tubules are placed close together and in contact with each other and the glomerulus.
7.41.203	This allows for exchange of chemical messengers between the different cell types.
7.41.204	For example, the DCT ascending limb of the loop of Henle has masses of cells called macula densa, which are in contact with cells of the afferent arterioles called juxtaglomerular cells.
7.41.205	Together, the macula densa and juxtaglomerular cells form the juxtaglomerular complex (JGC).
7.41.206	The JGC is an endocrine structure that secretes the enzyme renin and the hormone erythropoietin.
7.41.207	When hormones trigger the macula densa cells in the DCT due to variations in blood volume, blood pressure, or electrolyte balance, these cells can immediately communicate the problem to the capillaries in the afferent and efferent arterioles, which can constrict or relax to change the glomerular filtration rate of the kidneys.
7.41.208	Microorganisms and invertebrate animals use more primitive and simple mechanisms to get rid of their metabolic wastes than the mammalian system of kidney and urinary function.
7.41.209	Three excretory systems evolved in organisms before complex kidneys: vacuoles, flame cells, and Malpighian tubules.
7.41.210	Contractile Vacuoles in Microorganisms
7.41.211	The most fundamental feature of life is the presence of a cell.
7.41.212	In other words, a cell is the simplest functional unit of a life.
7.41.213	Bacteria are unicellular, prokaryotic organisms that have some of the least complex life processes in place; however, prokaryotes such as bacteria do not contain membrane-bound vacuoles.
7.41.214	The cells of microorganisms like bacteria, protozoa, and fungi are bound by cell membranes and use them to interact with the environment.
7.41.215	Some cells, including some leucocytes in humans, are able to engulf food by endocytosis—the formation of vesicles by involution of the cell membrane within the cells.
7.41.216	The same vesicles are able to interact and exchange metabolites with the intracellular environment.
7.41.217	In some unicellular eukaryotic organisms such as the amoeba, shown in Figure 41.9, cellular wastes and excess water are excreted by exocytosis, when the contractile vacuoles merge with the cell membrane and expel wastes into the environment.
7.41.218	Contractile vacuoles (CV) should not be confused with vacuoles, which store food or water.
7.41.219	Some unicellular organisms, such as the amoeba, ingest food by endocytosis.
7.41.220	The food vesicle fuses with a lysosome, which digests the food.
7.41.221	Waste is excreted by exocytosis.
7.41.222	Flame Cells of Planaria and Nephridia of Worms
7.41.223	As multi-cellular systems evolved to have organ systems that divided the metabolic needs of the body, individual organs evolved to perform the excretory function.
7.41.224	Planaria are flatworms that live in fresh water.
7.41.225	Their excretory system consists of two tubules connected to a highly branched duct system.
7.41.226	The cells in the tubules are called flame cells (or protonephridia) because they have a cluster of cilia that looks like a flickering flame when viewed under the microscope, as illustrated in Figure 41.10a.
7.41.227	The cilia propel waste matter down the tubules and out of the body through excretory pores that open on the body surface; cilia also draw water from the interstitial fluid, allowing for filtration.
7.41.228	Any valuable metabolites are recovered by reabsorption.
7.41.229	Flame cells are found in flatworms, including parasitic tapeworms and free-living planaria.
7.41.230	They also maintain the organism’s osmotic balance.
7.41.231	In the excretory system of the (a) planaria, cilia of flame cells propel waste through a tubule formed by a tube cell.
7.41.232	Tubules are connected into branched structures that lead to pores located all along the sides of the body.
7.41.233	The filtrate is secreted through these pores.
7.41.234	In (b) annelids such as earthworms, nephridia filter fluid from the coelom, or body cavity.
7.41.235	Beating cilia at the opening of the nephridium draw water from the coelom into a tubule.
7.41.236	As the filtrate passes down the tubules, nutrients and other solutes are reabsorbed by capillaries.
7.41.237	Filtered fluid containing nitrogenous and other wastes is stored in a bladder and then secreted through a pore in the side of the body.
7.41.238	Earthworms (annelids) have slightly more evolved excretory structures called nephridia, illustrated in Figure 41.10b.
7.41.239	A pair of nephridia is present on each segment of the earthworm.
7.41.240	They are similar to flame cells in that they have a tubule with cilia.
7.41.241	Excretion occurs through a pore called the nephridiopore.
7.41.242	They are more evolved than the flame cells in that they have a system for tubular reabsorption by a capillary network before excretion.
7.41.243	Malpighian Tubules of Insects Malpighian tubules are found lining the gut of some species of arthropods, such as the bee illustrated in Figure 41.11.
7.41.244	They are usually found in pairs and the number of tubules varies with the species of insect.
7.41.245	Malpighian tubules are convoluted, which increases their surface area, and they are lined with microvilli for reabsorption and maintenance of osmotic balance.
7.41.246	Malpighian tubules work cooperatively with specialized glands in the wall of the rectum.
7.41.247	Body fluids are not filtered as in the case of nephridia; urine is produced by tubular secretion mechanisms by the cells lining the Malpighian tubules that are bathed in hemolymph (a mixture of blood and interstitial fluid that is found in insects and other arthropods as well as most mollusks).
7.41.248	Metabolic wastes like uric acid freely diffuse into the tubules.
7.41.249	There are exchange pumps lining the tubules, which actively transport H+ ions into the cell and K+ or Na+ ions out; water passively follows to form urine.
7.41.250	The secretion of ions alters the osmotic pressure which draws water, electrolytes, and nitrogenous waste (uric acid) into the tubules.
7.41.251	Water and electrolytes are reabsorbed when these organisms are faced with low-water environments, and uric acid is excreted as a thick paste or powder.
7.41.252	Not dissolving wastes in water helps these organisms to conserve water; this is especially important for life in dry environments.
