7.1.1.1	Chapter 1: Studying Life
7.4.2.1.2.5	Redi hypothesized that flies arose not by some mysterious transformation of decaying meat, but from other flies that laid their eggs on the meat.
7.4.2.1.2.6	In 1668, Redi performed a scientific experiment   a relatively new concept at the time   to test his hypothesis.
7.4.2.1.2.7	He set out three jars containing chunks of meat:
7.4.2.1.3.1	One jar contained meat exposed to both air and flies.
7.4.2.1.4.1	A second jar was covered with a fine cloth so that the meat was exposed to air but not to flies.
7.4.2.1.5.1	The third jar was sealed with a lid so the meat was exposed to neither air nor flies.
7.4.2.1.6.1	As he had hypothesized, Redi found maggots, which then hatched into flies, only in the first jar.
7.4.2.1.6.2	This finding demonstrated that maggots could occur only where flies were present before.
7.4.2.1.6.3	The idea that a complex organism like a fly could appear spontaneously from a nonliving substance in the meat, or from &#x201C;something in the air,&#x201D; was laid to rest.
7.4.2.1.6.4	Well, perhaps not quite to rest.
7.4.2.1.7.1	In the 1660s, the newly invented microscope revealed a vast biological world that had never been seen before.
7.4.2.1.7.2	Virtually every environment on Earth was found to be teeming with tiny organisms.
7.4.2.1.7.3	Some scientists believed these organisms arose spontaneously from their rich chemical environment, by the action of a &#x201C;life force. &#x201D; But experiments in the nineteenth century by the great French scientist Louis Pasteur showed that microorganisms can arise only from other microorganisms, and that an environment without life remains lifeless (Figure 4.6).
7.4.2.1.8.1	experiment
7.4.2.1.9.1	Figure 4.6  Disproving the Spontaneous Generation of Life
7.4.2.1.10.1	Source: Pasteur gave a talk on his research at the &#x201C;Sorbonne Scientific Soir&#x00E9;e&#x201D; on April 7, 1864.
7.4.2.1.10.2	This talk has been translated into English: rc. usf. edu/-levineat/pasteur. pdf.
7.4.2.1.11.1	Previous experiments disproving the spontaneous generation of larger organisms were called into question when microorganisms were discovered.
7.4.2.1.11.2	Louis Pasteur   s classic experiments disproved the spontaneous generation of microorganisms.
7.4.2.1.12.1	HYPOTHESIS Microorganisms come only from other microorganisms and cannot arise by spontaneous generation. .
7.4.2.1.13.1	METHOD
7.4.2.1.14.1	RESULTSMicrobial life grows only in the flasks exposed to microorganisms.
7.4.2.1.14.2	There is no &#x201C;spontaneous generation&#x201D; of life in the sterile flask.
7.4.2.1.15.1	CONCLUSION Living organisms arise from preexisting living organisms.
7.4.2.1.16.1	Pasteur   s and Redi   s experiments showed that living organisms cannot arise from nonliving materials under the conditions that exist on Earth now.
7.4.2.1.16.2	But their experiments did not prove that spontaneous generation never occurred.
7.4.2.1.16.3	Eons ago, conditions on Earth and in the atmosphere above it were vastly different than they are today.
7.4.2.1.16.4	Indeed, conditions similar to those found on primitive Earth may have existed, or may exist now, on other bodies in our solar system and elsewhere.
7.4.2..title.1.1	As we emphasized in Chapter 2, water is an essential component of life as we know it.
7.4.2..title.1.2	This is why there was great excitement when remotely controlled spacecraft sent from Earth detected water ice on Mars.
7.4.2..title.1.3	Astronomers believe our solar system began forming about 4.6 billion years ago, when a star exploded and collapsed to form the sun and about 500 bodies called planetesimals.
7.4.2..title.1.4	These planetesimals collided with one another to form the inner planets, including Earth and Mars.
7.4.2..title.1.5	The first chemical signatures indicating the presence of life on Earth are about 4 billion years old.
7.4.2..title.1.6	So it took 600 million years for the chemical conditions on Earth to become just right for life.
7.4.2..title.1.7	Key among those conditions was the presence of water.
7.4.2..title.2.1	Ancient Earth probably had a lot of water high in its atmosphere.
7.4.2..title.2.2	But the new planet was hot, and the water remained in vapor form and dissipated into space.
7.4.2..title.2.3	As Earth cooled, it became possible for water to condense on the planet   s surface   but where did that water come from?
7.4.2..title.2.4	One current view is that comets (loose agglomerations of dust and ice that have orbited the sun since the planets formed) struck Earth and Mars repeatedly, bringing to those planets not only water but also other chemical components of life, such as nitrogen and carbon-containing molecules.
7.4.2..title.3.1	As the planets cooled and chemicals from their crusts dissolved in the water, simple chemical reactions would have taken place.
7.4.2..title.3.2	Some of these reactions might have led to life, but impacts by large comets and rocky meteorites released enough energy to heat the developing oceans almost to boiling, thus destroying any early life that might have existed.
7.4.2..title.3.3	On Earth, these large impacts eventually subsided, and around 3.8 billion years ago, life gained a foothold.
7.4.2..title.3.4	There has been life on Earth ever since.
7.4.2..title.4.1	Several models have been proposed to explain the origin of life on Earth.
7.4.2..title.4.2	The next sections will discuss two alternative theories: that life arose on Earth through chemical evolution, or that life came from outside Earth.
7.4.2.3.1.1	One theory for the origin of life on Earth, chemical evolution, holds that conditions on primitive Earth led to the formation of simple molecules such as monomers (see Key Concept 3.1), and that these molecules led to the formation of life forms.
7.4.2.3.1.2	Scientists have sought to reconstruct those primitive conditions, both physically (by varying temperature) and chemically (by re-creating the mixes of elements that may have been present).
7.4.2.13.1.1	In oxygenated water, some trace metals such as molybdenum and rhenium are soluble, and their presence in sediments under oceans and lakes is directly proportional to the amount of oxygen gas (O2) that was present in and above the water at the times the rocks were formed.
7.4.2.13.1.2	Measurements of dated sedimentary cores indicate that none of these rare metals was present prior to 2.5 billion years ago.
7.4.2.13.1.3	This and other lines of evidence suggest that there was little O2 in Earth   s early atmosphere.
7.4.2.13.1.4	Oxygen gas is thought to have accumulated about 2.5 billion years ago as the by-product of photosynthesis by single-celled life forms; today 21 percent of our atmosphere is O2.
7.4.2.13.2.1	In the 1950s Stanley Miller and Harold Urey at the University of Chicago set up an experimental &#x201C;atmosphere&#x201D; containing the  gases they thought were present in Earth   s early atmosphere: hydrogen gas, ammonia, methane gas, and water vapor.
7.4.2.13.2.2	They passed an electrical spark through these gases to simulate lightning, a source of energy to drive chemical reactions.
7.4.2.13.2.3	Then they cooled the system so the gases would condense and collect in a watery solution, or &#x201C;ocean&#x201D; (Figure 4.7).
7.4.2.13.2.4	After a week of continuous operation, the system contained numerous organic molecules, including a variety of amino acids   the building blocks of proteins.
7.4.2.13.3.1	experiment
7.4.2.13.4.1	Figure 4.7 Could Biological Molecules Have Been Formed from Chemicals Present in Earth&#8217;s Early Atmosphere?
7.4.2.13.5.1	Original Papers: Miller, S. L. 1953.
7.4.2.13.5.2	A production of amino acids under possible primitive earth conditions.
7.4.2.13.5.3	Science 117: 528&#8211;519.
7.4.2.13.6.1	Miller, S. L. and H. C. Urey. 1959.
7.4.2.13.6.2	Organic compound synthesis on the primitive earth.
7.4.2.13.6.3	Science 130: 245&#8211;251.
7.4.2.13.7.1	With an increased understanding of the atmospheric conditions that existed on primitive Earth, the researchers devised an experiment to see if these conditions could lead to the formation of organic molecules.
7.4.2.13.8.1	HYPOTHESIS Organic chemical compounds can be generated under conditions similar to those that existed in the atmosphere of primitive Earth.
7.4.2.13.9.1	METHOD
7.4.2.13.10.1	RESULTS
7.4.2.13.11.1	CONCLUSION The chemical building blocks of life could have been generated in the probable atmosphere of early Earth.
7.4.2.14.1.1	Stanley Miller also performed a long-term experiment in which the electrical spark was not used.
7.4.2.14.1.2	In 1972 he filled test tubes with ammonia gas, water vapor, and cyanide (HCN), another molecule that is thought to have formed on primitive Earth.
7.4.2.14.1.3	After checking that there were no contaminating substances or organisms that might confound the results, he sealed the tubes and cooled them to    78  C, the temperature of the ice that covers Europa, one of Jupiter   s moons.
7.4.2.14.1.4	Opening the tubes 27 years later, Miller found amino acids and nucleotide bases.
7.4.2.14.1.5	Apparently, pockets of liquid water within the ice had allowed high concentrations of the starting materials to accumulate, thereby speeding up chemical reactions.
7.4.2.14.1.6	The important conclusion is that the cold water within ice on ancient Earth, and other celestial bodies such as Mars, Europa, and Enceladus (one of Saturn   s moons; satellite photos have revealed geysers of liquid water coming from its interior), may have provided environments for the prebiotic synthesis of molecules required for the subsequent formation of simple living systems.
7.4.2.14.2.1	The results of these experiments were profoundly important in giving weight to speculations about the chemical origin of life on Earth and elsewhere in the universe.
7.4.2.14.2.2	Decades of experimental work and critical evaluation followed Miller and Urey   s original experiments.
7.4.2.14.2.3	In science, an experiment and its results must be repeatable and be reinterpreted and refined as more knowledge accumulates.
7.4.2.14.2.4	For example, ideas about Earth   s original atmosphere have changed.
7.4.2.14.2.5	There is abundant evidence indicating that major volcanic eruptions occurred 4 billion years ago; these would have released carbon dioxide (CO2), nitrogen (N2), hydrogen sulfide (H2S), and sulfur dioxide (SO2) into the atmosphere.
7.4.2.14.2.6	Experiments using these gases in addition to the ones in the original Miller   Urey experiment have produced a more diverse list of organic products:
7.4.2.14.3.1	All five bases that are present in DNA and RNA (i. e. , A, T, C, G, and U)
7.4.2.14.4.1	All of the 20 amino acids used in protein synthesis
7.4.2.14.5.1	Many three- to six-carbon sugars
7.4.2.14.6.1	Certain fatty acids
7.4.2.14.7.1	Vitamin B6 (pantothenic acid, a component of coenzyme A)
7.4.2.14.8.1	Nicotinamide (part of NAD, which is involved in energy metabolism)
7.4.2.14.9.1	Carboxylic acids such as succinic and lactic acids (also involved in energy metabolism)
7.4.2.4.1.1	Figure 4.8  The Murchison Meteorite
7.4.2.4.2.1	In 1969 a remarkable event led to the discovery that a meteorite from space carried molecules that were characteristic of life on Earth.
7.4.2.4.2.2	On September 28 of that year, fragments of a meteorite fell around the town of Murchison, Australia.
7.4.2.4.2.3	Using gloves to avoid Earth-derived contamination, scientists immediately shaved off tiny pieces of the rock, put them in test tubes, and extracted them in water (Figure 4.8).
7.4.2.4.2.4	They found several of the molecules that are unique to life, including purines, pyrimidines, sugars, and ten amino acids.
7.4.2.4.3.1	Were these molecules truly brought from space as part of the meteorite, or did they get there after the rock landed on Earth?
7.4.2.4.3.2	There are a number of reasons to believe the molecules were not Earthly contaminants:
7.4.2.4.4.1	The scientists took great care to avoid contamination.
7.4.2.4.4.2	They used gloves and sterile instruments, took pieces from below the rock   s surface, and did their work very soon after the meteorite landed (they hoped before organisms from Earth could contaminate the samples).
7.4.2.4.5.1	Amino acids in most living organisms on Earth are L-amino acids; that is, the amino acids of living things are found in only one of the two possible optical isomeric forms (see Figure 3.2).
7.4.2.4.5.2	The amino acids in the meteorite, however, were a mixture of L- and D-isomers, with a slight majority of the L form.
7.4.2.4.5.3	Thus the amino acids in the meteorite were not likely to have come from a living organism on Earth.
7.4.2.4.6.1	In the story that opened Chapter 2, we described how the ratio of isotopes in a living organism reflects the ratio of the same isotopes in the environment where the organism lives.
7.4.2.4.6.2	The isotope ratios for carbon and hydrogen in the sugars from the meteorite were different from the ratios of those elements found on Earth.
7.4.2.4.7.1	More than 90 meteorites from Mars have been recovered on Earth.
7.4.2.4.7.2	Many show signs of water   for example, in minerals such as carbonates that are precipitated from aqueous solution.
7.4.2.4.7.3	Some also contain organic molecules that are the chemical signatures of life.
7.4.2.4.7.4	While the presence of such molecules suggests that these rocks once harbored life, it does not prove that there were living organisms in the rocks when they landed on Earth.
7.4.2.4.7.5	Many scientists find it hard to believe that an organism could survive thousands of years of traveling through space in a meteorite, followed by intense heat as the meteorite passed through Earth   s atmosphere.
7.4.2.4.7.6	But there is evidence that the heat at the centers of some meteorites may not have been extreme.
7.4.2.4.7.7	If this were the case, then a long interplanetary trip by living organisms might have been possible.
7.4.2.4.8.1	Life does not have to reach Earth from space to prove it exists elsewhere.
7.4.2.4.8.2	There is an ongoing search for life in celestial bodies.
7.4.2.4.8.3	For example, as mentioned in the opening story of this chapter, both orbiting satellites and vehicles probing the landscape of Mars search for conditions suitable for present or past life on Mars.
7.4.2.4.8.4	Perhaps the most dramatic attempt to discover life on Mars came in 1976, when NASA celebrated the 200th anniversary of the political independence of the United States by landing two stationary probes, or landers, called Viking 1 and Viking 2 on the planet.
7.4.2.4.8.5	Investigating Life: Can We Find Evidence of Life on Mars? describes how scientists on Earth directed onboard instruments to evaluate soil on Mars for signs of life.
7.4.2.4.9.1	investigatinglife
7.4.2.4.10.1	Can We Find Evidence of Life on Mars?
7.4.2.4.11.1	experiment
7.4.2.4.12.1	Original Papers: Levin, G. V. and O. Straat. 1976.
7.4.2.4.12.2	Viking labeled release biology experiment: Interim results.
7.4.2.4.12.3	Science 194: 1322&#x2013;1329.
7.4.2.4.13.1	Ponnamperuma, C., A. Shimoyama, M. Yamada, T. Hobo and R. Pal. 1977.
7.4.2.4.13.2	Possible surface reactions on Mars: Implications for Viking biology results.
7.4.2.4.13.3	Science 197: 455&#x2013;457.
7.4.2.4.14.1	The Viking landers on Mars scooped up some of the soil and tested it for chemical interconversions consistent with life.
7.4.2.4.14.2	Gilbert Levin and colleagues designed experiments to show remotely, at a distance of millions of miles, that there could be life on Mars at the present time.
7.4.2.4.15.1	HYPOTHESIS  Martian soil can be tested by a probe on Mars to show chemical changes consistent with life.
7.4.2.4.16.1	METHOD
7.4.2.4.17.1	RESULTS Radioactive gas detected (counts per minute) after 4 Martian days Control (no soil) Martian sample 1 Martian sample 2 500 9,500 12,000
7.4.2.4.18.1	CONCLUSION  Martian soil shows chemical changes consistent with life.
7.4.2.4.19.1	work with the data
7.4.2.4.20.1	While it   s challenging to design experiments in the lab here on Earth, imagine the challenge of designing experiments done remotely on Mars!
7.4.2.4.20.2	A team of biologists and chemists led by Levin and Straat sent instruments to Mars to test for the presence of life by measuring the emission of gases after nutrients were supplied to soils possibly containing Martian organisms.
7.4.2.4.20.3	A scoop was used to obtain a 0.2 mL sample of soil which was then placed in a sealed container.
7.4.2.4.20.4	The mixture was warmed to about 18oC (much higher than the surrounding Martian environment).
7.4.2.4.20.5	Radioactive nutrients (formate, glycolate, glycine, alanine, and lactate) with their carbon atoms labeled in 14C were added.
7.4.2.4.20.6	At intervals after nutrient injection, a radioactive detector was employed to test for the release of 14C radioactive gases.
7.4.2.4.21.1	QUESTIONS
7.4.2.4.22.1	Table A shows data from two of the experiments.
7.4.2.4.22.2	Plot the data as 14C radioactive gas versus Martian days after nutrient addition.
7.4.2.4.22.3	What can you conclude?
7.4.2.4.22.4	Laboratory experiments prior to the two Viking departures showed that the total radioactivity that could be released if all of the nutrients were completely converted to gases was 257,000 counts per minute (cpm).
7.4.2.4.22.5	Calculate the fraction of this that appeared in the Martian sample and comment on the result.
7.4.2.4.23.1	Table A shows data from Martian soil that had been heated for 3 h at 160  C before nutrient addition.
7.4.2.4.23.2	Plot these data on the same graph you made for Question 1.
7.4.2.4.23.3	What types of molecules are destroyed by heat, and how does this occur?
7.4.2.4.23.4	How do these data affect your conclusions from question 1?
7.4.2.4.24.1	Back on Earth, Ponnamperuma and colleagues simulated Martian soil by using a major component of Martian soil called hematite (Fe2O3) and added the nutrients in the same way as had been done in the Mars experiment.
7.4.2.4.24.2	Their results, including a preheated experiment, are shown in Table B. How do these results affect the conclusions you drew after considering Questions 1 and 2?
7.4.2.4.25.1	Table A 14C Gases Detected (counts per minute) Time (days) Experiment 1 Experiment 2 Preheated soil Initial 185 1,100 655 0.2 3,000 5,500 540 0.5 4,800 7,200 500 1.0 6,200 9,500 525 2.0 7,000 11,300 590 3.0 7,600 11,800 610 4.0 8,000 12,000 620
7.4.2.4.26.1	Table B 14C Gases Detected (counts per minute) Hematite + 14Cnutrients Hematite withoutnutrients Experiment 10,140 150 Preheated 160  C 308 107
7.4.2.4.27.1	A similar work with the data exercise may be assigned in LaunchPad.
7.4.2.4.28.1	A distinctive aspect of living systems is their ability to use molecules from the environment to extract chemical energy for growth.
7.4.2.4.28.2	During this process, waste products are released.
7.4.2.4.28.3	You are familiar with this: you breathe in oxygen gas (O2), take in nutrients in food, and breathe out carbon dioxide (CO2).
7.4.2.4.28.4	Other organisms do not use O2 but take in other molecules.
7.4.2.4.28.5	In the Mars experiments, scientists directed the Viking landers to scoop up some Martian soil and then exposed it to seven organic molecules as nutrients, all of which can be formed in Miller   Urey experiments (e. g. , amino acids; see Figure 4.7).
7.4.2.4.28.6	The seven molecules were labeled with a radioisotope of carbon (14C).
7.4.2.4.28.7	After a period of exposure, a detector was used to measure any radioactive gases (possibly CO2) produced.
7.4.2.4.29.1	The results of some of the experiments were astonishing: radioactive gas was detected in some experiments, and some scientists concluded that there might be life on Mars.
7.4.2.4.29.2	The fact that there was little radioactive gas produced when the soil was preheated to 160  C to kill living organisms gave credence to this conclusion.
7.4.2.4.29.3	Later, simulations in the lab on Earth showed that radioactive gas could could be formed in this experiment with certain kinds of soils, without organisms.
7.4.2.4.29.4	So there is an alternative, nonbiological explanation for the Mars data.
7.4.2.4.29.5	Nevertheless, some biologists still adhere to the biological explanation for the Mars data, and the quest for life on Mars continues.
7.4.2.4.30.1	4.2 recap
7.4.2.4.31.1	Life does not arise repeatedly through spontaneous generation, but comes from preexisting life.
7.4.2.4.31.2	Water is an essential ingredient for the emergence of life.
7.4.2.4.31.3	Chemical synthesis experiments provide support for the idea that life   s simple molecules formed in the prebiotic environment on Earth.
7.4.2.4.31.4	Meteorites that have landed on Earth provide some evidence for an extraterrestrial origin of life, as do experiments with landers on Mars showing possible chemical interconversions that may reflect life.
7.4.2.4.32.1	learning outcomes
7.4.2.4.33.1	You should be able to:
7.4.2.4.34.1	Explain how Redi   s and Pasteur   s experiments disproved spontaneous generation.
7.4.2.4.35.1	Describe conditions on early Earth and theories about how these conditions affected the origin of life on Earth.
7.4.2.4.36.1	Justify the conditions used by Miller and Urey in their experiments.
7.4.2.4.37.1	What conditions existing on Earth today might preclude the origin of life from the prebiotic molecules Miller and Urey used?
7.4.2.4.38.1	The interpretation of Pasteur   s experiment (see Figure 4.6) depended on the inactivation of microorganisms by heat.
7.4.2.4.38.2	We now know of microorganisms that can survive extremely high temperatures (see Chapter 26).
7.4.2.4.38.3	Does this change the interpretation of Pasteur   s experiment?
7.4.2.4.38.4	What experiments would you do to inactivate such microbes?
7.4.2.4.39.1	The Miller   Urey experiment (see Figure 4.7) showed that it was possible for amino acids to be formed from gases that were hypothesized to have been in Earth   s early atmosphere.
7.4.2.4.39.2	These amino acids were dissolved in water.
7.4.2.4.39.3	Knowing what you do about the polymerization of amino acids into proteins (see Figure 3.6), how would you set up an experiment to show that proteins can form under the conditions of early Earth?
7.4.2.4.40.1	Chemistry experiments modeling the conditions of ancient Earth provide clues about the origins of the monomers (such as amino acids) that make up the polymers (such as proteins) that characterize life.
7.4.2.4.40.2	How did these polymers develop?
7.4.2.4.41.1	Chapter 4 continues with
7.4.2.4.42.1	4.3  The Large Molecules of Life Originated from Small Molecules
7.4.3.1.1	Complex molecules could be formed from simpler ones on primitive Earth
7.4.3.2.1	RNA may have been the first biological catalyst
7.4.3.3.1	The Miller   Urey experiment and others that followed provide a plausible scenario for the formation of the building blocks of life under conditions that prevailed on primitive Earth.
7.4.3.3.2	The next step in forming and supporting a general theory on the origin of life would be an explanation for how polymers formed from these monomers.
7.4.3.4.1	focus your learning
7.4.3.5.1	Evidence from simulation experiments supports the theory that biological polymers formed from chemical reactions taking place in early Earth conditions.
7.4.3.6.1	Scientists hypothesize that the presence of catalysts would have been necessary during the evolution of biological polymers.
7.4.3.1.1.1	Scientists have used a number of model systems to try to simulate conditions under which the first biological polymers might have been made.
7.4.3.1.1.2	Each of these systems is based on several observations and speculations:
7.4.3.1.2.1	Solid mineral surfaces, such as powderlike clays, have large surface areas.
7.4.3.1.2.2	Scientists speculate that the silicates in clay may have catalyzed (sped up) the condensation reactions that resulted in organic polymers.
7.4.3.1.3.1	Hydrothermal vents deep in the ocean, where hot water emerges from beneath Earth   s crust, lack oxygen gas and contain metals such as iron and nickel.
7.4.3.1.3.2	In laboratory experiments, these metals have been shown to catalyze the polymerization of amino acids in the absence of oxygen.
7.4.3.1.4.1	In hot pools at the edges of oceans, evaporation may have concentrated monomers to the point where polymerization was favored (the &#x201C;primordial soup&#x201D; hypothesis).
7.4.3.1.5.1	In whatever ways the earliest stages of chemical evolution occurred, they resulted in the emergence of monomers and polymers that have probably remained unchanged in their general structures and functions for several billion years.
7.4.3.2.1.1	Many chemical changes occur in living organisms: an example is DNA replication, which we described earlier in this chapter as the process by which a molecule of DNA is duplicated (see Figure 4.5).
7.4.3.2.1.2	Many other chemical changes occur in living systems, often involving the hydrolysis or synthesis of macromolecules or conversions among small molecules.
7.4.3.2.1.3	As you will see in Chapter 8, these chemical changes can occur spontaneously in aqueous solutions like those that exist in biological systems, but most would occur extremely slowly.
7.4.3.2.1.4	Catalysts   molecules that speed up biochemical conversions   solve this problem.
7.4.3.2.1.5	So a key to the origin of life is the appearance of catalysts.
7.4.3.2.2.1	Today, the main catalysts in organisms are proteins called enzymes.
7.4.3.2.2.2	The many shapes of proteins allow them to bind to diverse substances in solution and speed up chemical reactions.
7.4.3.2.2.3	But we know that proteins are made based on information in nucleic acids.
7.4.3.2.2.4	So we have a chicken-or-egg problem: If proteins are needed for life, nucleic acids must have appeared first, so that the proteins could be made.
7.4.3.2.2.5	But if nucleic acids appeared before proteins, proteins could not have been the first catalysts.
7.4.3.2.2.6	Could nucleic acids be catalysts, in addition to their role as blueprints for protein synthesis?
7.4.3.2.2.7	The answer is yes.
7.4.3.2.3.1	Like a protein, the three-dimensional structure of a folded RNA molecule presents a unique surface to the external environment (see Figure 4.3).
7.4.3.2.3.2	The surfaces of RNA molecules can be every bit as specific as those of proteins.
7.4.3.2.3.3	The three-dimensional shapes and other chemical properties of certain RNA molecules allow them to function as catalysts.
7.4.3.2.3.4	Catalytic RNAs, called ribozymes, can speed up reactions involving their own nucleotides as well as other cellular substances.
7.4.3.2.3.5	Although in retrospect it is not too surprising, the discovery of catalytic RNAs was a surprise to a community of biologists who were convinced that all biological catalysts were proteins (enzymes).
7.4.3.2.3.6	It took almost a decade for the work of the scientists involved, Thomas Cech and Sidney Altman, to be fully accepted by other scientists, but when it was, the two were awarded the Nobel Prize.
7.4.3.2.3.7	Figure 4.9  The &#x201C;RNA World&#x201D; Hypothesis
7.4.3.2.4.1	Given that RNA can be both informational (in its nucleotide sequence) and catalytic (because of its ability to form unique threedimensional shapes), it has been hypothesized that early life consisted of an &#x201C;RNA world&#x201D;&#x2014;a world before DNA.
7.4.3.2.4.2	It is thought that when RNA was first made, it could have acted as a catalyst for its own replication as well as for the synthesis of proteins.
7.4.3.2.4.3	DNA could eventually have evolved from RNA (Figure 4.9).
7.4.3.2.4.4	Several lines of evidence support this scenario:
7.4.3.2.5.1	In living organisms today, the formation of peptide linkages (see Figure 3.6) is catalyzed by ribozymes.
7.4.3.2.6.1	In certain viruses called retroviruses, there is an enzyme called reverse transcriptase that catalyzes the synthesis of DNA from RNA.
7.4.3.2.7.1	When a short, naturally occurring RNA molecule is added to a mixture of nucleotides, RNA polymers are formed at a rate 7 million times greater than the formation of polymers without the added RNA.
7.4.3.2.7.2	This indicates that the added RNA is a catalyst, not just a template.
7.4.3.2.8.1	An artificial ribozyme has been developed that can catalyze the assembly of short RNAs into a longer molecule that is an exact copy of itself.
7.4.3.2.8.2	This may be how nucleic acid replication evolved.
7.4.3.2.9.1	An artificial ribozyme has been developed that can catalyze the assembly of short RNAs into a longer molecule that is an exact copy of itself.
7.4.3.2.9.2	This may be how nucleic acid replication evolved.
7.4.3.2.10.1	4.3 recap
7.4.3.2.11.1	The formation of the large polymers that are characteristic of life may have occurred on the surfaces of clay particles, near hydrothermal vents, or in hot pools at the edges of oceans.
7.4.3.2.11.2	RNA may have been the first genetic material and catalyst.
7.4.3.2.12.1	learning outcomes
7.4.3.2.13.1	You should be able to:
7.4.3.2.14.1	Justify the need for catalysts in the origin of life.
7.4.3.2.15.1	Describe the proposed role for RNA in the formation of long-chain polymers.
7.4.3.2.16.1	Provide evidence supporting RNA as a catalyst in prebiotic chemical reactions that gave rise to other biological polymers.
7.4.3.2.17.1	Why was the ability to both encode information and catalyze reactions important for the origin of life?
7.4.3.2.18.1	Why was the discovery of ribozymes important for the development of the &#x201C;RNA world&#x201D; hypothesis?
7.4.3.2.19.1	In living organisms, the catalyst for the formation of the peptide bond is an RNA that does not have an informational role.
7.4.3.2.19.2	How does this relate to the &#x201C;RNA world&#x201D; hypothesis?
7.4.3.2.20.1	The discovery of mechanisms for the formation of small and large molecules is essential to answering questions about the origin of life on Earth.
7.4.3.2.20.2	But we also need to understand how organized living systems formed.
7.4.3.2.20.3	Such systems display the characteristic properties of life, including reproduction, energy processing, and responsiveness to the environment.
7.4.3.2.20.4	These are properties of cells, whose origin we will explore in the next section.
7.4.3.2.21.1	Chapter 4 continues with
7.4.3.2.22.1	4.4  Cells Originated from Their Molecular Building Blocks
7.4.4.1.1	How did the first cells with membranes come into existence?
7.4.4.2.1	Some ancient cells left a fossil imprint
7.4.4.3.1	As you have seen from many of the theories on the origin of life, the evolution of biochemistry occurred under localized conditions.
7.4.4.3.2	That is, the chemical reactions of life could not occur in a dilute aqueous environment with the molecular participants far apart.
7.4.4.3.3	There had to be a compartment of some sort that brought together and concentrated the compounds involved in these events.
7.4.4.3.4	Biologists have proposed that initially this compartment may have simply been a tiny droplet of water on the surface of a rock.
7.4.4.3.5	But another major event in the origin of life was necessary: the evolution of the cell membrane.
7.4.4.4.1	focus your learning
7.4.4.5.1	Membrane development was critical for the evolution of the cell as the smallest unit of life.
7.4.4.6.1	Scientists have discovered fossils of structures that may have been early cells.
7.4.4.7.1	Life as we know it is separated from the environment within structurally defined units called cells.
7.4.4.7.2	The internal contents of a cell are separated from the nonbiological environment by a special barrier   a membrane.
7.4.4.7.3	The membrane is not just a barrier; it regulates what goes into and out of the cell, as we will describe in Chapter 6.
7.4.4.7.4	This role of the surface membrane is very important because it permits the interior of the cell to maintain a chemical composition that is different from that of its external environment.
7.4.4.1.1.1	Jack Szostak and his colleagues at Harvard University built a laboratory model that gives insights into the origin of cells.
7.4.4.1.1.2	To do this, they first put fatty acids (which can be made in prebiotic experiments) into water.
7.4.4.1.1.3	Recall from Chapter 3 that fatty acids are amphipathic: they have a hydrophilic polar head and a long, nonpolar tail that is hydrophobic (see Figure 3.22).
7.4.4.1.1.4	When placed in water, fatty acids will arrange themselves in a round    huddle  ? much like a football team: the hydrophilic heads point outward to interact with the aqueous environment, and the fatty acid tails point inward, away from the water molecules.
7.4.4.1.1.5	Figure 4.10 Protocells
7.4.4.1.2.1	What if some water becomes trapped in the interior of this    huddle  ??
7.4.4.1.2.2	Now the layer of hydrophobic fatty acid tails is in water, which is an unstable situation.
7.4.4.1.2.3	To stabilize this structure, a second layer of fatty acids forms.
7.4.4.1.2.4	This lipid bilayer has the polar heads of the fatty acids facing both outward and inward, because they are attracted to the polar water molecules present on each side of the double layer.
7.4.4.1.2.5	The nonpolar tails form the interior of the bilayer (Figure 4.10).
7.4.4.1.2.6	These prebiotic, water-filled structures, defined by a lipid bilayer membrane, very much resemble living cells.
7.4.4.1.2.7	Scientists refer to these compartments as protocells.
7.4.4.1.2.8	Examining their properties revealed that:
7.4.4.1.3.1	Large molecules such as DNA and RNA could not pass through the bilayer to enter the protocells, but small molecules such as sugars and individual nucleotides could.
7.4.4.1.4.1	Nucleic acids inside the protocells could replicate using the nucleotides from outside.
7.4.4.1.4.2	When the investigators placed a short nucleic acid strand capable of self-replication inside protocells and added nucleotides to the watery environment outside, the nucleotides crossed the barrier, entered the protocells, and became incorporated into new polynucleotide chains.
7.4.4.1.4.3	This replication, which can occur without protein catalysis, may have been the first step toward cell reproduction.
7.4.4.1.5.1	Were these protocells truly cells, and was the lipid bilayer produced in these experiments a true cell membrane?
7.4.4.1.5.2	Certainly not.
7.4.4.1.5.3	The protocells could not fully reproduce, nor could they carry out all the metabolic reactions that take place in modern cells.
7.4.4.1.5.4	The simple lipid bilayer had few of the sophisticated functions of modern cell membranes.
7.4.4.1.5.5	Nevertheless, the *protocell may be a reasonable facsimile of a cell as it evolved billions of years ago:
7.4.4.1.6.1	It can act as an organized system of parts, with substances interacting and reacting, in some cases catalytically.
7.4.4.1.7.1	It includes an interior that is distinct from the exterior environment.
7.4.4.1.8.1	It is capable of limited replication.
7.4.4.1.9.1	These are all fundamental characteristics of living cells.
7.4.4.1.10.1	*connect the concepts Protocells more closely resemble bacteria than plant or animal cells.
7.4.4.1.10.2	The evolution of the latter two cell types is believed to have occurred in a series of steps, as explained in Key Concept 26.1.
